x,y,latitude,transparen,longitude,fid,station_vi,visit_date,color_id
24.296866,57.769633,57.769632999999999,2.000000000000000,24.296866000000001,5362,212393.0,2012/08/17 19:00:00.000,15.0
24.242,57.737216,57.737215999999997,2.200000000000000,24.242000000000001,5363,212394.0,2012/08/18 08:00:00.000,17.0
24.290266,57.737483,57.737482999999997,2.000000000000000,24.290265999999999,5364,212395.0,2012/08/18 08:15:00.000,15.0
24.299933,57.737099,57.737099000000001,1.800000000000000,24.299932999999999,5365,212396.0,2012/08/18 08:25:00.000,17.0
24.307183,57.73715,57.737150000000000,1.800000000000000,24.307182999999998,5366,212397.0,2012/08/18 08:30:00.000,17.0
24.312533,57.736283,57.736283000000000,1.800000000000000,24.312532999999998,5367,212398.0,2012/08/18 08:35:00.000,11.0
24.318666,57.736166,57.736165999999997,1.800000000000000,24.318666000000000,5368,212399.0,2012/08/18 08:45:00.000,13.0
24.325849,57.736616,57.736615999999998,1.600000000000000,24.325849000000002,5369,212400.0,2012/08/18 08:50:00.000,19.0
24.332833,57.736433,57.736432999999998,1.600000000000000,24.332833000000001,5370,212401.0,2012/08/18 09:00:00.000,19.0
24.337766,57.736649,57.736649000000000,1.400000000000000,24.337765999999998,5371,212402.0,2012/08/18 09:05:00.000,17.0
24.305299,57.764233,57.764232999999997,1.800000000000000,24.305299000000002,5372,212403.0,2012/08/18 09:20:00.000,15.0
24.305466,57.770833,57.770833000000003,1.800000000000000,24.305465999999999,5373,212404.0,2012/08/18 09:30:00.000,15.0
24.312783,57.771149,57.771149000000001,1.600000000000000,24.312783000000000,5374,212405.0,2012/08/18 09:40:00.000,17.0
24.316216,57.7639,57.763900000000000,1.600000000000000,24.316216000000001,5375,212406.0,2012/08/18 09:45:00.000,15.0
24.325583,57.764466,57.764465999999999,1.600000000000000,24.325583000000002,5376,212407.0,2012/08/18 09:50:00.000,13.0
24.335049,57.765583,57.765582999999999,1.500000000000000,24.335049000000001,5377,212408.0,2012/08/18 10:00:00.000,15.0
24.339749,57.766233,57.766233000000000,1.400000000000000,24.339749000000001,5378,212409.0,2012/08/18 10:05:00.000,17.0
24.340883,57.774999,57.774999000000001,1.400000000000000,24.340883000000002,5379,212410.0,2012/08/18 10:15:00.000,15.0
24.344516,57.774966,57.774965999999999,1.600000000000000,24.344515999999999,5380,212411.0,2012/08/18 10:25:00.000,15.0
24.328916,57.774183,57.774183000000001,1.400000000000000,24.328916000000000,5381,212412.0,2012/08/18 10:30:00.000,17.0
24.3229,57.77335,57.773350000000001,1.500000000000000,24.322900000000001,5382,212413.0,2012/08/18 10:35:00.000,17.0
24.286516,57.6511,57.651100000000000,1.800000000000000,24.286515999999999,5383,212414.0,2012/08/18 13:00:00.000,15.0
24.289783,57.647199,57.647199000000001,1.800000000000000,24.289783000000000,5384,212415.0,2012/08/18 13:05:00.000,17.0
24.309483,57.66245,57.662450000000000,1.700000000000000,24.309483000000000,5385,212416.0,2012/08/18 13:20:00.000,17.0
24.317333,57.665166,57.665165999999999,1.700000000000000,24.317333000000001,5386,212417.0,2012/08/18 13:25:00.000,17.0
24.322316,57.66745,57.667450000000002,1.700000000000000,24.322316000000001,5387,212418.0,2012/08/18 13:35:00.000,17.0
24.327216,57.669666,57.669665999999999,1.800000000000000,24.327216000000000,5388,212419.0,2012/08/18 13:40:00.000,19.0
24.330783,57.671666,57.671666000000002,2.000000000000000,24.330783000000000,5389,212420.0,2012/08/18 13:45:00.000,17.0
24.334133,57.673316,57.673316000000000,2.200000000000000,24.334133000000001,5390,212421.0,2012/08/18 13:55:00.000,15.0
24.338466,57.675249,57.675249000000001,2.100000000000000,24.338466000000000,5391,212422.0,2012/08/18 14:00:00.000,13.0
24.344516,57.677266,57.677266000000003,2.100000000000000,24.344515999999999,5392,212423.0,2012/08/18 14:05:00.000,15.0
